Name,Address,City,Province,Postal Code,Phone,Discipline,Centre Type,Association,URL,Language,Email,Established,Longitude,Latitude
"Near North Mobile Media Lab","141 Main Street West","North Bay","Ontaria","P1B 1A8","705-845-9491","Film/Video, Media and Digital Arts","Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://www.n2m2l.ca/","EN","mobilemedialab@gmail.com","","-79.46375956218812","46.3103644861235"
"Niagara Artists Centre","354 St. Paul Street","St. Catherines","Ontaria","L2R 3N2","905-641-0331","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre, Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://nac.org/","EN","artists@nac.org","","-79.24146746035943","43.16026384067109"
"Okanagan Artists Alternative Association (Alternator Centre for Contemporary Art)","103-421 Cawston Avenue","Kelowna","British Columbia","V1Y 6Z1","250-868-2298","Interdisciplinary, Media and Digital Arts, Sound Art and Music, Visual Arts","Exhibition Centre","Independent Media Arts Alliance (IMAA), Pacific Association of Artist-Run Centres (PAARC)","https://www.alternatorcentre.com/","EN","info@alternatorcentre.com","","-119.49502672339734","49.89172089959336"
"On Main Gallery (On The Cutting Edge Productions Society)","427-268 Keefer St.","Vancouver","British Columbia","V6A 1X5","604-872-7713","Film/Video, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, No Fixed Location, Distribution Centre, Exhibition Centre, Production Centre","Independent Media Arts Alliance (IMAA), Pacific Association of Artist-Run Centres (PAARC)","https://www.onmaingallery.ca/","EN","admin@onmaingallery.ca","","-123.09811863129475","49.279429757539575"
"Open Studio","401 Richmond Street West, Suite 104","Toronto","Ontaria","M5V 3A8","416-504-8238","Printmaking, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Production Centre, Publisher","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://openstudio.ca/","EN","office@openstudio.ca","","-79.39506887905472","43.64764033888849"
"PAVED Arts","424 20th Street West","Saskatoon","Saskatchewan","S7M OX4","306-652-5502","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Plains Artist-Run Centres Association (PARCA)","https://www.pavedarts.ca/","EN","artistic@pavedarts.ca","","-106.67593317350841","52.12644169198302"
"Pleasure Dome","401 Richmond Street West Suite 122","Toronto","Ontaria","M5V 3A8","-","Film/Video, Media and Digital Arts, Publications and Publishing, Visual Arts","Exhibition Centre, Publisher","","https://pdome.org/","EN","pleasuredomemanager@gmail.com","","-79.43992302027105","43.67102208650511"
"Propeller Art Gallery","30 Abell Street","Toronto","Ontaria","M6J 0A9","416-504-7142","Interdisciplinary","Exhibition Centre","","https://propellerartgallery.com/","EN","info@propellerartgallery.com","","-79.42409390082489","43.64211591701498"
"Sâkêwêwak First Nations Artitsts' Collective INC.","201-1855 Scarth St","Regina","Alberta","S4P 2G9","306-352-0302","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre","Aboriginal Region, Plains Artist-Run Centres Association (PARCA)","https://sakewewak.ca/","EN","ExecutiveDirector@sakewewak.ca","","-104.61045625823621","50.44948073700136"
"Saskatchewan Filmpool Cooperative","301 - 1822 Scarth Street","Regina","Saskatchewan","S4P 2G3","306-757-8818","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music","Distribution Centre, No Fixed Location, Information Centre, Production Centre, Publisher","Plains Artist-Run Centres Association (PARCA)","https://www.filmpool.ca/","EN","president@filmpool.ca","","-104.61119511590668","50.45000933539857"
"SAVAC (South Asian Visual Arts Centre)","401 Richmond Street","Toronto","Ontaria","M5V 3A8","416-542-1661","Film/Video, Visual Arts","Artists' Residencies, No Fixed Location","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://savac.net/","EN","info@savac.net","","-79.39502981616577","43.647928291294846"
"SAW","67, rue Nicholas","Ottawa","Ontaria","K1N 7B9","613-236-6181","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Publications and Publishing, Sound Art and Music, Visual Arts","Information Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Association des Groupes en Arts Visuels Francophones (AGAVF)","https://saw-centre.com/","FR/EN","info@saw-centre.com","","-75.68896425574482","45.425299126567204"
"Second Story Art Society O/A Truck Contemporary Art in Calgary","2009 10th Avenue Southeast","Calgary","Alberta","T3C 0K4","403-261-7702","Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Visual Arts","Artists' Residencies, Exhibition Centre, Publisher","Alberta Association of Artist-Run Centres (AAARC)","https://www.truck.ca/","EN","hello@truck.ca","","-114.02110867932495","51.034818751345945"
"SNAP (The Society of Northern Alberta Print-Artists)","10572 115 St. Northwest","Edmonton","Alberta","T5N 3K6","780-423-1492","Crafts, Interdisciplinary, Media and Digital Arts, Printmaking, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Production Centre","Alberta Association of Artist-Run Centres (AAARC)","https://snapartists.com/","EN","snap@snapartists.com","","-113.51957955408588","53.54966176393156"
"The Bows","2001b 10th Ave. SW","Calgary","Alberta","T3C 0K4","825-994-3366","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre, Production Centre","Alberta Association of Artist-Run Centres (AAARC)","https://www.thebows.org/","EN","info@thebows.org","","-114.10692060238831","51.044504479844996"
"The Independent Filmmakers Co-operative of Ottawa INC. (IFCO)","2 Daly Avenue, Suite 140","Ottawa","Ontaria","K1N 6E2","-","Film/Video","Production Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://www.ifco.ca/","EN","board@ifco.ca","","-75.68887763328948","45.42561248822682"
"The Red Head Gallery","401 Richmond Street West, Suite 115","Toronto","Ontaria","M5V 3A8","416-504-5654","Visual Arts","Exhibition Centre, Information Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://www.redheadgallery.org/","EN","info@redheadgallery.org","","-79.39480154500109","43.64813239730871"
"Third Space Gallery / Galerie Tiers Espace","Third Space P.O. Box 20103","Saint John","New Brunswick","E2L 5B2","506-566-7434","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Sound Art and Music, Visual Arts","Artists' Residencies, No Fixed Location, Exhibition Centre, Information Centre","Association of Artist-Run Centres From the Atlantic (AARCA)","https://thirdspacegallery.ca/","EN/FR","tiersespace@gmail.com","","-66.06221567176483","45.271942651703874"
"Toronto Reel Asian International Film Festival","448-401 Richmond Street West","Toronto","Ontaria","M5V 3A8","416-703-9333","Film/Video, Media and Digital Arts","Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://www.reelasian.com/","EN","info@reelasian.com","","-79.39485558917751","43.648085917473686"
"Tribe, A Centre for Evolving Aboriginal Media, Visual & Performing Arts INC.","805-601 Spadina Crescent East","Saskatoon","Saskatchewan","S7K 3G8","306-244-4814","Media and Digital Arts, Performance and Live Arts, Visual Arts","No Fixed Location","Aboriginal Region, Plains Artist-Run Centres Association (PARCA)","-","-","-","","-106.65890173044728","52.1261355532701"
"Urban Shaman Contemporary Aboriginal Art Gallery","203-290 McDermot Avenue","Winnipeg","Manitoba","R3B 0T2","204-942-2674","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre","Aboriginal Region, Manitoba Artist-Run Centres Coalition (MARCC)","https://www.urbanshaman.org/","EN","info@urbanshaman.org","","-97.14234634476425","49.8976318703011"
"Vtape","452-401 Richmond Street West","Toronto","Ontaria","M5V 3A8","416-351-1317","Film/Video, Media and Digital Arts, Publications and Publishing","Distribution Centre, Information Centre","Artist-Run Centres & Collectives of Ontario (ARCCO), Independent Media Arts Alliance (IMAA)","https://vtape.org/","EN","info@vtape.org","","-79.39501615849525","43.64779520160083"
"W2 Media","308-877 East Hastings","Vancouver","British Columbia","V6A 3Y1","-","Interdisciplinary, Media and Digital Arts, Publications and Publishing, Sound Art and Music","No Fixed Location, Production Centre, Publisher","Independent Media Arts Alliance (IMAA), Pacific Association of Artist-Run Centres (PAARC)","-","EN","-","","-123.08580037362415","49.28139935170212"
"Whippersnapper Gallery","594b Dundas Street West","Toronto","Ontaria","M5T 1H5","-","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://whippersnapper.ca/","EN","general@whippersnapper.ca","","-79.4010999333537","43.652507012278996"
"White Water Gallery","159 Main Street East","North Bay","Ontaria","P1B 1A9","705-476-2444","Crafts, Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Sound Art and Music, Visual Arts","Artists' Residencies, Exhibition Centre","Artist-Run Centres & Collectives of Ontario (ARCCO)","https://whitewatergallery.com/","EN","info@whitewatergallery.com","","-79.46327582956246","46.30959530368763"
"YYZ Artists' Outlet","140-401 Richmond Street West","Toronto","Ontaria","M5V 3A8","416-598-4546","Film/Video, Interdisciplinary, Media and Digital Arts, Performance and Live Arts, Printmaking, Publications and Publishing, Visual Arts","Artists' Residencies, Exhibition Centre, Information Centre, Publisher","Artist-Run Centres & Collectives of Ontario (ARCCO)","http://www.yyzartistsoutlet.org","EN","yyz@yyzartistsoutlet.org","","-79.39458977383639","43.647965447765"
